"streetAddress","zipcode","description","latitude","longitude","propertyTaxRate","garageSpaces","hasAssociation","hasGarage","hasSpa","hasView","homeType","yearBuilt","latestPrice","latest_saledate","latest_salemonth","latest_saleyear","numOfPhotos","numOfAccessibilityFeatures","numOfAppliances","numOfParkingFeatures","numOfPatioAndPorchFeatures","numOfSecurityFeatures","numOfWaterfrontFeatures","numOfWindowFeatures","numOfCommunityFeatures","lotSizeSqFt","livingAreaSqFt","avgSchoolDistance","avgSchoolRating","avgSchoolSize","MedianStudentsPerTeacher","numOfBathrooms","numOfBedrooms","numOfStories"
"7804 Tisdale Dr","78757","Upon entering, you are welcomed with an abundance of natural light radiating from the skylights. Sleek concrete floors, modern fixtures, custom built-ins, and imported Brazilian Quartzite used for the kitchen and the addition to create a noteworthy residence. Two large living/ flex spaces separated by a sliding door. Custom-built fireplace situated within 500 square ft. of floor to ceiling windows. This space is equipped with built-in subzero appliances, including a wine fridge.",30.3501472473144,-97.7200927734375,1.98,2,"FALSE","TRUE","FALSE","TRUE","Single Family",1956,825,2019-06-28,"6",2019,39,"0",7,3,3,2,0,1,0,8886,2609,1.33333333333333,7,1189,16,2,3,1
"1101 Plymouth Dr","78758","GREAT LOCATION! Adorable North Central Home in a quiet pocket. Cast Iron Plumbing changed out. Fresh Paint and Recent Floors. 1 Year old Fridge Conveys. Faux Wood Blinds. Covered Patio, Tile Counters. Minutes to the Domain. Great Starter home for somone looking to be close to all things Austin.",30.3565769195557,-97.7088851928711,1.98,2,"FALSE","TRUE","FALSE","FALSE","Single Family",1968,325,2020-09-14,"9",2020,81,"0",4,3,2,0,0,0,0,6834,1348,0.666666666666667,4,1028,14,1,3,1
"9202 Quail Wood Dr","78758","Character meets utility in this amazing gem featuring an open concept with vaulted ceilings, tons of natural light throughout, Saltillo tile & hardwoods (no carpet!), rare in-ground pool, & an organic garden with custom cedar raised beds! Remodeled master showcases a Turkish shower, huge walk-in closet! The kitchen has breakfast area & opens to the family room with a gorgeous fireplace. Private backyard has mature crepe myrtles, huge trees & Covered lime stone patio with 2 ceiling fans!",30.3655681610107,-97.7052612304688,1.98,2,"FALSE","TRUE","FALSE","TRUE","Single Family",1969,188,2018-06-01,"6",2018,40,"0",5,2,0,0,0,0,0,9278,1895,0.666666666666667,4,1028,14,2,3,1
"1806 Ohlen Rd","78757","Great corner lot with plenty of room to expand. House is in great shape... ready for new life to be breathed into it. Lots of charm, lots of life in this perfect bungalow. Owners have done extensive updates to systems, including HVAC (2015), new plumbing in foundation to street, electrical (2008), new appliances (2015),etc.",30.361967086792,-97.7217178344727,1.98,0,"FALSE","FALSE","FALSE","FALSE","Single Family",1967,315,2018-07-30,"7",2018,35,"0",2,1,0,0,0,0,0,7361,1186,0.6,4,1019,14,1,3,1
"8523 Maine Dr","78758","Welcome to your completely remodeled home in a spectacular location next to Lanier High School and convenient to everything including 183/Mopac!  Enjoy the fully remodeled home featuring 4 bedrooms and 2 full baths, everything is new, all new walls, flooring, counter tops, fixtures, tile surrounds, back spashes, cabinets, new stainless steel appliances, paint, new roof, tankless water heater, the list just keeps going!  The open concept kitchen and living space allow for entertaining too!  Come see it!!",30.3587093353271,-97.710090637207,1.98,0,"FALSE","FALSE","FALSE","FALSE","Single Family",1968,319.5,2019-03-12,"3",2019,17,"0",2,0,0,0,0,0,0,7701,1629,0.533333333333333,4,1028,14,2,4,1
"8511 Putnam Dr","78757","8511 Putnam Dr, Austin, TX 78757 is a single family home that contains 1,446 sq ft and was built in 1965. It contains 3 bedrooms and 2 bathrooms. 
 
The Zestimate for this house is $473,559. The Rent Zestimate for this home is $1,995/mo.",30.3630924224854,-97.721565246582,1.98,0,"FALSE","FALSE","TRUE","FALSE","Single Family",1965,375,2019-06-28,"6",2019,1,"0",5,1,4,0,0,2,0,6969,1446,0.6,4,1019,14,2,3,1
"1110 Colony North Dr","78758","Nestled in N. Austin, this 1-story home w/ cozy front patio, that doubles as a carport, welcomes you inside to an open, spacious floor plan w/ plenty of natural light. Interior boasts high-quality laminate throughout, except in the completely renovated kitchen & bathrooms which hold beautiful tile flooring. BBQ w/ family & friends on backyard patio, relax by fire pit, admire garden beds. Bonus sheds equipped w/ elect. & insulation in the larger one. <20mins to DT, <15mins to Domain shops & eateries.",30.3568363189697,-97.7101440429688,1.98,1,"FALSE","TRUE","FALSE","FALSE","Single Family",1966,295,2020-06-30,"6",2020,23,"0",1,2,2,2,0,0,0,7361,1208,0.633333333333333,4,1028,14,2,3,1
"1025 Quail Park Dr","78758","Wonderful opportunity to own a unique home in Quail Creek!  Updates throughout with 3 bedrooms, 4th bedroom/office, 2.5 bath, huge great room with a built-in bar, dedicated dining room, living room, freshly painted interior, exterior, new front door, new quartz countertops in kitchen & front bathroom, beautiful updated master bath with dual vanity and walk in shower. New tankless water heater. The large back yard is private with beautiful mature Oak Trees. Great location with easy access to IH-35, MoPac, 183 - plenty of options for restaurants, shopping, entertainment. Only 15 mins to Downtown & The Domain is a quick 8 min drive as well as the new soccer stadium that will be ready in 2021!",30.3641471862793,-97.7036056518555,1.98,2,"FALSE","TRUE","FALSE","FALSE","Single Family",1971,518,2020-12-29,"12",2020,64,"0",5,2,1,3,0,0,0,11325.6,2393,0.7,4,1028,14,3,4,1
"7903 Tisdale Dr","78757","Vintage-modern farmhouse vibes from this darling home on a spacious .25 acre lot! Original glazed tile baths, knotty pine kitchen and hardwoods throughoutâ""no carpet! Relax & unwind on your comfortable covered patio overlooking the expansive yard complete with a garden. Plenty of space to expand existing home, build a guest house, add a poolâ""the possibilities! Oversized garage offers great storage. Close to great local restaurants, shopping, nightlife, Crestview rail stationâ""walk to new Black Swan Yoga!",30.3508892059326,-97.718864440918,1.98,2,"FALSE","TRUE","FALSE","FALSE","Single Family",1955,230,2019-06-03,"6",2019,1,"0",7,3,0,0,0,0,0,10454,1189,0.7,4,1019,14,2,3,1
"9903 Chukar Cir","78758","This captivating 4 bd 2 bth 1,499 sq ft home offers original character and old-school charm. Located in a prime location of Quail Hollow 2.8 miles from Austin hot spots like the Domain, Top Golf, Arboretum, Whole Foods and Chuys. Take advantage of the hike & bike trail that runs through the neighborhood and Walnut Creek Park's nearby lap pool, baseball field, basketball court and playground's. Prime location and reasonable price make this home a hot commodity, wont last long !",30.3758220672607,-97.7082366943359,1.98,2,"FALSE","TRUE","FALSE","FALSE","Single Family",1972,459,2020-10-15,"10",2020,58,"0",2,2,1,1,0,0,0,8494,1499,0.866666666666667,3.66666666666667,1002,14,2,4,1
"9601 Newfoundland Cir","78758","An amazing remodel sitting on a large corner lot, this home has it all! Stunningly remodeled kitchen and breakfast area with Silestone countertops, stainless steel appliances. Large Master Suite with walk in closets and a double vanity. Birch floors throughout the house - no carpet! Several energy upgrades including new windows and energy efficient appliances.",30.3720703125,-97.7070617675781,1.98,0,"FALSE","FALSE","FALSE","FALSE","Single Family",1970,335,2018-07-17,"7",2018,14,"0",3,1,0,0,0,0,0,9104,1420,0.766666666666667,3.66666666666667,1002,14,2,3,1
"1004 Alden Dr","78758","Fully Remodeled. New Doors, Windows, PVC Sewer plumbing, Bamboo flooring, Custom Cabinets, redesigned kitchen, Stainless steel appliances, Updated electrical, New Driveway. Many more updates. Close to Domain and Burnet/Lamar shopping/dining & minutes to downtown, UT, Apple, Dell, IBM, Samsung, Seton & Applied Materials.",30.3571109771729,-97.7072067260742,1.98,0,"FALSE","FALSE","FALSE","FALSE","Single Family",1967,300,2018-02-24,"2",2018,33,"0",2,1,0,0,0,0,0,7753,1010,0.633333333333333,4,1028,14,2,3,1
"1602 Thornridge Rd","78758","Totally renovated in the highly sought after Quail Creek Neighborhood. Minutes from Celis Brewing and Oscar Blues. A short bike ride to the Domain or the commuter rail for a night downtown. Nothing left to chance. All new plumbing, including drain lines all the way to the street making for a clean Hydrostatic Test. New designer fixtures, Tank less water heater & Toto Commodes. New 200 Amp electric service with new circuits & aluminum wiring brought to code. New state of the lighting & remote controlled fans. Under cabinet lighting & stainless appliances. New cabinetry & hardware, granite & butcher block counter tops. Five light Frosted Glass doors, Bamboo Flooring & updated tile at the bathrooms !!!",30.3732604980469,-97.7086715698242,1.98,2,"FALSE","TRUE","FALSE","FALSE","Single Family",1970,369.9,2018-12-21,"12",2018,20,"0",3,2,0,0,0,0,0,9888,1518,0.8,3.66666666666667,1002,14,2,3,1
"10116 Aspen St","78758","Fantastic location just minutes to all that is Austin with the Domain area just a few minutes away!  Great floor plan that includes a bay window breakfast area, 2 livings that could be combined, 4 bedrooms of which one could easily be incorporated into the master bedroom allowing for a more robust master bath. Spacious and fenced yard.",30.3723926544189,-97.6980667114258,1.98,0,"FALSE","FALSE","FALSE","FALSE","Single Family",1972,275,2019-06-14,"6",2019,26,"0",2,1,1,0,0,0,0,9104,1426,1.2,4.33333333333333,983,14,2,4,1
"8206 Emberwood Dr","78757","Exceptional deal! Lovely ranch style home in Allandale North! Huge lot with plenty of room for a ADU! Check COA requirements to be sure.  Large open living space with fireplace and picture windows. An amazing living space! The sunroom is heated and cooled and approx 409 sq ft per FPG, relax and enjoy this private setting.  Master features a walk in shower and walk in closet with barn door closure!  Spacious bedrooms and open living spaces!Two car garage with additional covered space for large vehicles.",30.3593482971191,-97.7241821289062,1.98,3,"FALSE","TRUE","FALSE","FALSE","Single Family",1967,519.9,2019-07-29,"7",2019,37,"0",2,3,0,0,0,1,0,13503.6,2085,0.633333333333333,4,1019,14,2,4,1
"1818 Richwood Dr","78757","GREAT ALLANDALE NORTH FIXER-UPPER!  All brick single story on a tree lined street.  Private back yard. Great floor plan with an extra large sunken living room with cathedral ceilings.  Garage has extra room for a workshop w/220.  This home could be something special!",30.3591384887695,-97.7236633300781,1.98,2,"FALSE","TRUE","FALSE","FALSE","Single Family",1967,495,2020-09-08,"9",2020,90,"0",3,2,1,0,0,2,0,8712,2033,0.633333333333333,4,1019,14,2,3,1
"1802 Palmwood Cv","78757","1802 Palmwood Cove, Austin, TX 78757",30.357006072998,-97.7222061157227,1.98,2,"FALSE","TRUE","FALSE","FALSE","Single Family",1967,719,2020-05-18,"5",2020,50,"1",5,3,3,1,0,1,0,17424,1873,0.566666666666667,4,1019,14,2,3,1
"10507 Lark Ct","78758","10507 Lark Ct, Austin, TX 78758 is a single family home that contains 1,113 sq ft and was built in 1969. It contains 3 bedrooms and 2 bathrooms. 
 
The Zestimate for this house is $340,429. The Rent Zestimate for this home is $1,600/mo.",30.3776321411133,-97.697639465332,1.98,0,"FALSE","FALSE","FALSE","FALSE","Single Family",1969,289.9,2018-12-20,"12",2018,27,"0",2,1,0,0,0,0,0,12632.4,1113,1.2,4.33333333333333,983,14,2,3,1
"8216 Renton Dr","78757","The home features laminate wood flooring in all bedrooms and hard tile in the living room and kitchen. Living room has beamed cathedral ceiling. Lovely warm paint accents throughout the home. French doors leads to the sparkling 8ft. pool and covered patio. Don't miss out on this beautiful quaint home located in sought after Wooten Community. Easy access to Hwys.",30.3603668212891,-97.7232437133789,1.98,1,"FALSE","TRUE","FALSE","FALSE","Single Family",1967,415,2020-09-17,"9",2020,31,"0",4,2,1,0,0,0,0,7013,1010,0.6,4,1019,14,2,3,1
"1823 Ohlen Rd","78757","Ranch style home with fireplace, corner lot, was builders home.  

Neighborhood Description

Bustling central Austin, one of the last affordable neighborhoods.  Home values increasing.   Some neighbors have been here for 30 years.",30.3607006072998,-97.7238693237305,1.98,0,"FALSE","FALSE","FALSE","FALSE","Single Family",1964,395,2019-12-20,"12",2019,24,"0",8,1,0,0,0,0,0,9100,1202,0.6,4,1019,14,2,3,1
"8608 Delaware Ct","78758","Masterfully, professionally rehabbed from head to toe!! Brand New, HCAC, wood like tile flooring, kitchen cabinets, granite counter tops, stainless steel appliances, fresh interior & exterior paint, new patio, windows, patio double door, privacy stained fence, landscaping and MORE. Just minutes from the domain, in a booming area, this home will move fast!!",30.3580017089844,-97.7051544189453,1.98,0,"FALSE","FALSE","FALSE","FALSE","Single Family",1964,290,2019-05-13,"5",2019,39,"0",2,1,0,1,0,0,0,12632.4,2000,0.666666666666667,4,1028,14,3,3,2
"1902 Ohlen Rd","78757","1902 Ohlen Rd, Austin, TX 78757 is a single family home that contains 1,711 sq ft and was built in 1965. It contains 3 bedrooms and 2 bathrooms. 
 
The Zestimate for this house is $534,595. The Rent Zestimate for this home is $2,100/mo.",30.3612880706787,-97.7242965698242,1.98,0,"FALSE","FALSE","FALSE","FALSE","Single Family",1965,465,2019-09-30,"9",2019,23,"0",2,0,1,0,0,0,0,8929,1711,0.6,4,1019,14,2,3,1
"8101 Mullen Dr","78757","Stunning renovation in North Allandale. The seller is a custom builder and spared no expense in re-designing this beautiful home. Upgrades include hardwood flooring, quartz countertops, custom built cabinetry, LED recessed lighting, new windows and new A/C.  
The re-configured floor plan creates a flowing, open space and includes a utility room- ideal for office space or a mud room. The large screened-in patio is not included in the total sqft, creating an additional 155 sqft of living space.  Each bedroom boasts walk-in closets + custom built-ins, providing ample storage.  
Moments from popular shopping and dining hotspot Anderson lane and 10mins to DT and the Domain. Not to be missed!",30.3566722869873,-97.7239074707031,1.98,2,"FALSE","TRUE","FALSE","FALSE","Single Family",1963,500,2018-11-17,"11",2018,25,"0",5,2,0,0,0,0,0,9713,1480,0.633333333333333,4,1019,14,2,3,1
"8401 Ephraim Rd","78717","Spacious home in well sought after Brushy Creek that offers three bedrooms upstairs along with an office/living room. Formal living room and dining room that open up to kitchen, breakfast area and den, perfect for entertaining. Kitchen has a center island, large walk in pantry, plenty of counter and cabinet space. Walking distance to Woods of Brushy Creek HOA pool. Seller is allowing a $1000 budget for appliances and $1000 for carpet.",30.4895420074463,-97.7423477172852,2.21,0,"TRUE","FALSE","FALSE","FALSE","Single Family",1995,312,2018-11-16,"11",2018,4,"0",5,2,0,0,0,0,0,7535,2849,1.3,7.66666666666667,1785,16,3,3,2
"133 Archipelago Trl","78717","133 Archipelago Trl, Austin, TX 78717 is a single family home that contains 3,281 sq ft and was built in 2012. It contains 4 bedrooms and 4 bathrooms. 
 
The Zestimate for this house is $678,771. The Rent Zestimate for this home is $2,595/mo.",30.4866580963135,-97.7273712158203,2.21,3,"TRUE","TRUE","FALSE","TRUE","Single Family",2012,629,2020-07-31,"7",2020,37,"0",0,3,0,0,0,0,0,10541,3281,1.4,8.33333333333333,1913,16,4,4,1
"7800 Lecompte Rd","78717","Turn-key home with many improvements. Property features upgraded quartz kitchen countertops, stainless appliances, plenty of entertainment space, expansive outdoor patio with pergola and in-ground pool. Pool was replastered in 2016 and features a quartz finish with LED lighting. Pool pump replaced in 2018. HVAC system replaced in 2019. Neighborhood features access to community center with gymnasiums, racquetball courts and indoor track. Within walking distance.",30.4876880645752,-97.7355422973633,2.21,6,"TRUE","TRUE","FALSE","FALSE","Single Family",1994,330,2020-01-30,"1",2020,5,"0",2,3,0,0,0,0,1,9626,2069,1.16666666666667,7.66666666666667,1785,16,2,4,1
"116 Azimuth Dr","78717","116 Azimuth Dr, Austin, TX 78717 is a single family home that contains 2,665 sq ft and was built in 2011. It contains 3 bedrooms and 4 bathrooms. 
 
The Zestimate for this house is $542,893. The Rent Zestimate for this home is $2,400/mo.",30.4883766174316,-97.7247467041016,2.21,3,"TRUE","TRUE","FALSE","TRUE","Single Family",2011,495,2019-12-20,"12",2019,31,"0",0,3,0,0,0,0,0,8276,2665,1.83829565864985,5.77869409033186,1237,15,4,3,1
"15901 Two Rivers Cv","78717","15901 Two Rivers Cv, Austin, TX 78717 is a single family home that contains 2,407 sq ft and was built in 1988. It contains 4 bedrooms and 3 bathrooms. 
 
The Zestimate for this house is $412,310. The Rent Zestimate for this home is $2,100/mo.",30.4911136627197,-97.7378692626953,2.21,3,"TRUE","TRUE","TRUE","TRUE","Single Family",1988,360,2019-08-20,"8",2019,1,"1",7,3,2,1,0,0,0,10890,2407,1.06666666666667,7.66666666666667,1785,16,3,4,2
"8156 Racine Trl","78717","Fantastic Investment Opportunity in Brushy Creek! Charming Single story 3/2 brick home with great layout. This home showcases a beautiful oak tree in the front and raised flower beds in the back. Large kitchen offers an island and opens onto the breakfast room. Walking distance to award winning  and coveted Great Oaks Elementary & Cedar Valley Middle School. Area amenities include an exceptional Community Center, hike/bike trails, parks, frisbee golf and much more. Don't miss this amazing investment opportunity.",30.4912185668945,-97.7362747192383,2.21,2,"TRUE","TRUE","FALSE","FALSE","Single Family",1989,245,2019-07-29,"7",2019,19,"0",0,3,0,0,0,0,0,7405,1502,1,7.66666666666667,1785,16,2,3,1
"205 Archipelago Trl","78717","New price reduction. Lovely two story home in Highland Horizon neighborhood with 4 bedrooms & 2.5 baths, Master down with large walk-in closet. Formal dining, spacious utility room & flex room upstairs. Entertainers kitchen with plenty of counter space & storage and granite counter tops. Excellent RRISD schools. Close to Apple, Amazon, Visa, Dell, EA and other tech.",30.4895248413086,-97.7275390625,2.21,2,"TRUE","TRUE","FALSE","FALSE","Single Family",2012,465,2020-08-24,"8",2020,31,"0",4,3,2,2,0,1,0,5532,2662,1.33333333333333,8.33333333333333,1913,16,3,4,2
"13202 Dime Box Trl","78729","SCHEDULE SAFE TOUR TODAY AND PLEASE CALL ME FOR PRIVATE SHOWING 512-550- 8670 or VIRTUAL VIDEO. Must see!! Great house in desirable Rattan Creek neighborhood close to the new Apple campus. House features Hardie siding, energy efficient windows, tiled downstairs floors, hardwood flooring  (staircase, recreation room, master bedroom & hallway). Outside features include 100+ year old trees (5 oak & 1 Pecan), sprinkler system, covered patio, heated pool & spa.Special Financing available. Call me more information!!",30.4458656311035,-97.7480316162109,1.98,2,"FALSE","TRUE","TRUE","TRUE","Single Family",1985,419,2020-05-11,"5",2020,4,"0",5,2,0,1,0,0,0,6359,2277,0.933333333333333,6,1343,13,3,3,2
"6303 Avery Island Ave","78727","Restrictions: Yes",30.4375667572021,-97.7499313354492,1.98,2,"FALSE","TRUE","FALSE","FALSE","Single Family",1984,300,2020-11-05,"11",2020,4,"0",3,2,2,1,0,0,0,6490,1335,1.93333333333333,7.66666666666667,1518,16,2,3,1
"6321 Avery Island Ave","78727","6321 Avery Island Ave, Austin, TX 78727 is a single family home that contains 1,693 sq ft and was built in 1984. It contains 3 bedrooms and 3 bathrooms. 
 
The Zestimate for this house is $385,885. The Rent Zestimate for this home is $1,925/mo.",30.4382286071777,-97.7511596679688,1.98,2,"FALSE","TRUE","FALSE","FALSE","Single Family",1984,390,2020-11-25,"11",2020,40,"0",3,2,1,2,0,0,0,6316,1693,1.93333333333333,7.66666666666667,1518,16,3,3,1
"12819 Covington Trl","78727","OPEN SUNDAY 1-3: COMING SOON! Charming 1 story w/ a parklike backyard, RRISD Schools - award-winning Canyon Vista Middle and Westwood High! Updated kitchen w/granite counters & stainless steel appliances (incl Jennair stove w/indoor grill)! Climate controlled garage w/Epoxy floor makes a great gameroom/flex space or 2 car garage! Sellers including Home theatre system w/surround sound & Cat5e networking! Easy access to Parmer/183 tech corridors, close to Apple, NI, Oracle & other employers, shopping and more! Contact Laurie Flood Team for  more info 512-576-1504",30.4364356994629,-97.7409591674805,1.98,2,"FALSE","TRUE","FALSE","FALSE","Single Family",1985,177,2018-01-30,"1",2018,18,"0",2,2,0,0,0,0,0,6011,1248,2.46666666666667,7.66666666666667,1518,16,2,3,1
"13446 Moscow Trl","78729","Brick ranch w/ 3 BDRMs,2 FBs in the sought after Millwood neighborhood.Curb appeal & landscaped. Open floor plan,inset lighting,gorgeous floors, 2 LIVRMs. Kitchen has an island w/ extra seating, granite counters, tiled backsplash & all matching SS appliances. breakfast area, family room, master bed room &master bath all have double sheet rock walls for greater energy efficiency.Fenced in backyard w/plenty of room to run & play. Storage shed in backyard. A patio just perfect for entertaining.  This gem won't last long, book your showing today! The roof has Tornado/Hurricane tie down rafter straps.",30.4566879272461,-97.75439453125,2.21,0,"TRUE","FALSE","FALSE","FALSE","Single Family",1995,345,2019-11-21,"11",2019,18,"0",6,2,1,1,0,0,0,5662,1658,1.16666666666667,5.66666666666667,1402,12,2,3,1
"7204 Carew Cv","78759","Awesome LOCATION, great schools, Beautiful remodeled home!",30.4275341033936,-97.7670669555664,1.98,1,"FALSE","TRUE","FALSE","TRUE","Single Family",1978,549.9,2019-07-11,"7",2019,30,"0",8,2,2,3,0,1,0,10467,2554,1.43333333333333,8.33333333333333,1638,16,3,4,1
"5601 Barker Ridge Dr","78759","5601 Barker Ridge Dr, Austin, TX 78759 is a single family home that contains 2,512 sq ft and was built in 1985. It contains 4 bedrooms and 3 bathrooms. 
 
The Zestimate for this house is $743,131. The Rent Zestimate for this home is $3,011/mo.",30.4077606201172,-97.7557983398438,1.98,2,"FALSE","TRUE","TRUE","FALSE","Single Family",1985,620,2019-01-01,"1",2019,31,"0",5,2,0,0,0,0,0,10323,2512,2.46666666666667,7,1523,17,3,4,2
"7728 Portland Trl","78729","Completely updated inside with new carpet, laminate, granite counter tops, glass tile back splash in kitchen, stainless appliances and fresh paint Nice, flowing floor plan! It's like having a brand new home! Three bedroom, 2 bath, breakfast area and a nicely shaded back yard!",30.4574356079102,-97.7538986206055,2.21,0,"TRUE","FALSE","FALSE","FALSE","Single Family",1995,274.9,2019-09-19,"9",2019,21,"0",3,2,1,0,0,0,0,6098,1327,1.2,5.66666666666667,1402,12,2,3,1
"12715 Covington Trl","78727","12715 Covington Trl, Austin, TX 78727 is a single family home that contains 1,368 sq ft and was built in 1985. It contains 3 bedrooms and 2 bathrooms. 
 
The Zestimate for this house is $372,101. The Rent Zestimate for this home is $1,800/mo.",30.43505859375,-97.7425231933594,1.98,0,"FALSE","FALSE","FALSE","FALSE","Single Family",1985,289.9,2018-03-15,"3",2018,38,"0",4,1,0,0,0,0,0,6098,1368,2.36666666666667,7.66666666666667,1518,16,2,3,1
"11504 Heathrow Dr","78759","You'll love this stunning home with an extended covered porch surrounded by shade trees. This recently updated home has four bedrooms and three baths with 2,288 square feet of open, spacious living.  This house has two living areas. The focal point of the main living area is a beautiful stone fireplace. Bamboo floors throughout most of the house.  The kitchen has been remodeled with Quartzite counters, marble backsplash, cabinets with soft close and mindful configuration for extra storage, double ovens, and Bosch dishwasher.  Your private, serene master has an en suite remodeled bathroom with a luxurious oversized shower with dual heads, marble tile, designer fixtures, quartz counters, and space-saving cabinets.  Relax under your covered patio or soak up the back yard beauty.",30.4294700622559,-97.7774505615234,1.98,0,"FALSE","FALSE","FALSE","FALSE","Single Family",1979,489.9,2019-07-30,"7",2019,34,"0",3,1,2,1,0,0,0,8929,2288,1.16666666666667,9,1616,16,3,4,2
"12409 Audane Dr","78727","Centrally located this home offers an open floor plan with lots of natural lighting, high ceilings and even a skylight! Formal dining plus breakfast area, large family room with fireplace adjacent to the kitchen and breakfast area for easy entertaining. Spacious master offers a bay window, trey ceiling, jetted tub, separate shower and large walk-in closet. Corner lot with side entry garage, lots of shade trees, native plants and close to the Arboretum, The Domain and tech businesses!",30.428638458252,-97.7374496459961,1.98,2,"FALSE","TRUE","FALSE","FALSE","Single Family",1996,460,2020-08-31,"8",2020,74,"0",7,2,2,0,0,1,0,7840,2065,3.2,6.66666666666667,1486,15,2,3,1
"12905 Dakota Ln","78729","Newly renovated single story home on an oversized culdesac lot! Built in 1975, the current owners have brought life back to the home with a full remodel featuring clean lines, neutral tones, and an open concept floor plan. The home features shaker style white cabinets, granite countertops, stainless steel appliances, and luxury vinyl wood floors throughout. The oversized living room with vaulted ceilings, rustic wood beams, and a white brick fireplace, is ideal for entertaining. In addition to three bedrooms, the home has a second living room and an office space perfect for work / study from home. The quarter acre shaded lot located on the culdesac offers privacy and boundless opportunities for creating outdoor spaces to match your lifestyle. Short drive to Apple campus, HEB, and the Domain.",30.4436569213867,-97.7543258666992,2.21,2,"FALSE","TRUE","TRUE","FALSE","Single Family",1975,575,2020-11-09,"11",2020,58,"0",3,3,1,0,0,0,0,12196.8,2595,0.966666666666667,6,1343,13,2,3,1
"5111 Duval Rd","78727","Upgraded and move in ready! Walk to neighborhood parks.  Award-winning schools and easy access to shopping, major employers.",30.4166259765625,-97.7408905029297,1.98,2,"FALSE","TRUE","FALSE","FALSE","Single Family",1973,299.9,2018-06-22,"6",2018,32,"0",4,3,0,0,0,0,0,8624,1336,2.3,6,1474,15,2,3,1
"12009 Fremont Cv","78727","$2000/month. Recently remodeled, new kitchen and baths. Xeriscape yard front and back. Close to tech companies, the Domain and north Austin employers. 

Very tranquil neighborhood, looking for quiet tenants who respect their neighbors and want to live on a peaceful cul-de-sac. This house is in great condition and landlord very much wants to keep it looking like an owner occupied home.",30.41477394104,-97.7260055541992,1.98,2,"FALSE","TRUE","FALSE","FALSE","Single Family",1978,395,2019-11-07,"11",2019,20,"0",6,2,0,0,0,0,0,7492,1595,2.6,6.66666666666667,1486,15,2,3,1
"5206 Rambling Range","78727","New price! Classic ranch style home in the heart of NW Austin! Great location, room to roam (+/- 0.8 Acres) & move in ready! Single story~4 beds~3 full baths~fireplace~remodeled kitchen & baths~new carpet~recently painted~covered front & back porches~4 car garage~brick paved semi circle drive~separate 2 story storage building (Office, workshop, gym, playroom?)~Mother in law suite-w/ sep entrance & full bath~NO HOA FEES~in ground pool~carport for your RV~Solar~Metal roof. SO many updates-move in ready!",30.42209815979,-97.7386779785156,1.98,4,"FALSE","TRUE","FALSE","FALSE","Single Family",1989,824.9,2020-06-17,"6",2020,76,"0",5,2,3,4,0,3,0,36590.4,3302,2.56666666666667,6,1474,15,3,4,1
"11407 Maidenstone Dr","78759","Updated home on oversized lot w/ grand oak trees and two large patio areas. Home feeds to highly desirable schools, 4 miles to Apple and 10 minutes to The Domain. Second living area was smartly created by converting garage, a perfect home office or home schooling room w/ separate entry and true mud room w/ utility sink. Updated windows, great natural light. Previous foundation repair w/ fully transferrable lifetime warranty, engineer's report, and recent inspection update attached for buyer peace of mind.Restrictions: Yes",30.4276103973389,-97.7763137817383,1.98,4,"FALSE","TRUE","TRUE","FALSE","Single Family",1976,425,2020-10-15,"10",2020,116,"0",5,1,3,3,0,1,0,9234,2163,1.23333333333333,9,1616,16,2,3,1
"11403 Maidenstone Dr","78759","Stunning updated home in quiet neighborhood featuring loads of upgrades throughout including new engineered hardwood floors in common areas, remodeled master bath, new lighting fixtures, office/study with new tile, new water heater, & remodeled kitchen w/ new dishwasher, counters, range, microwave, sink, & backsplash, & many other new features throughout. Spacious backyard w/ large patio, perfect for entertaining or relaxing. Great location, minutes to The Domain & easy access to 183 & Mopac.",30.4272556304932,-97.7761611938477,1.98,0,"FALSE","FALSE","FALSE","FALSE","Single Family",1976,389.9,2018-08-22,"8",2018,27,"0",4,1,0,0,0,0,0,8712,1711,1.23333333333333,9,1616,16,2,3,1
"13216 Greybull Trl","78729","Beautiful newly remodeled large 6 bedroom home. Backs to great Ratan Creek Park with direct gate access.
Very spacious and open floor plan. High-end kitchen features granite counters with a generous peninsula, designer picked backsplash tile up to the ceiling, soft-close cabinets, all new appliances, lighting, and much more. Trendy fireplace in the family room. All bathrooms are FULLY remodeled! Check out the gorgeous master bathroom with a free-standing tub, Calcutta quartz counters, vessel sinks, floor to ceiling tile, and elegant pendant lighting! All rooms are good size with lots of natural light. Nice play structure in the back yard - kid and pet-friendly. Close to Hi-tech corridor on Parmer Ln. Only 5 min from Apple!",30.4501113891602,-97.7527923583984,2.21,2,"FALSE","TRUE","FALSE","TRUE","Single Family",1987,514.9,2019-12-31,"12",2019,79,"0",3,3,1,1,0,0,0,6882,3454,0.966666666666667,6,1343,13,3,5,2
